# Solar System State Vectors
# Source: JPL Horizons, barycentric (@0), epoch 2026-Aug-03 00:00 TDB
# Units: mass kg, radius m, position m, velocity m/s
,,,,,,,,,,,
Name,Mass,Radius,R,G,B,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z
Sun,1.989E+30,6.957E+8,255,245,242,-2.407E+08,07.892E+08,1.530E+07,1.089E+01,3.636E0,-2.262E-01
Mercury,3.301E+23,2.439E+6,141,141,141,5.002E+10,8.804E+09,-3.811E+09,-1.854E+04,5.002E+04,5.789E+03
Venus,4.867E+24,6.052E+6,241,234,211,-1.897E+10,-1.078E+11,-3.742E+08,3.427E+04,-6.173E+03,-2.061E+03
Earth,5.972E+24,6.371E+6,47,106,105,9.801E+10,-1.165E+11,2.166E+07,2.223E+04,1.917+04,-1.508E0
Mars,6.417E+23,3.389E+6,151,61,0,1.288E+11,1.794E+11,6.279E+08,-1.876E+04,1.617E+04,7.991E+02
Jupiter,1.898E+27,6.991E+7,176,127,53,-4.696E+11,6.357E+11,7.873E+09,-1.066E+04,-7.147E+03,2.683E+02
Saturn,5.683E+26,5.823E+7,176,143,54,1.396E+12,2.151E+11,-5.932E+10,-2.001E+03,9.525E+03,-8.596E+01
Uranus,8.681E+25,2.536E+7,85,128,170,1.366E+12,2.568E+12,-8.170E+09,-6.061E+03,2.882E+03,8.922E+01
Neptune,1.024E+26,2.462E+7,54,104,150,4.464E+12,1.778E+11,-1.065E+11,-2.520E+02,5.463E+03,-1.066E+02
Pluto,1.303E+22,1.188E+6,150,133,112,2.963E+12,-4.403E+12,-3.858E+11,4.664E+03,1.819E+03,-1.543E+03
,,,,,,,,,,,
